Gene	Module	kME
146	UNCLASSIFIED	NA
147	UNCLASSIFIED	NA
148	UNCLASSIFIED	NA
149	UNCLASSIFIED	NA
150	P1_I42_M1	0.85
151	P1_I42_M1	0.97
152	P1_I42_M1	0.95
153	P1_I42_M1	0.96
154	UNCLASSIFIED	NA
155	UNCLASSIFIED	NA
156	P1_I42_M1	0.87
157	P7_I3_M1	0.82
158	P1_I42_M1	0.97
159	UNCLASSIFIED	NA
160	P1_I42_M1	0.93
161	P2_I7_M2	0.85
162	P1_I42_M1	0.91
163	UNCLASSIFIED	NA
164	P1_I42_M1	0.93
165	P1_I42_M1	0.92
166	P2_I7_M2	0.95
167	P1_I42_M1	0.9
168	P1_I42_M1	0.94
169	P1_I42_M1	0.9
170	P1_I42_M1	0.94
171	UNCLASSIFIED	NA
172	UNCLASSIFIED	NA
173	P1_I42_M1	0.93
174	UNCLASSIFIED	NA
175	P1_I42_M1	0.92
176	P1_I42_M1	0.93
177	P2_I7_M1	0.88
178	P1_I42_M1	0.94
179	P1_I42_M1	0.92
180	P1_I42_M1	0.96
181	P6_I5_M3	0.83
182	P3_I7_M3	0.91
183	P1_I42_M1	0.9
184	P1_I42_M1	0.92
185	UNCLASSIFIED	NA
186	P1_I42_M1	0.84
187	P3_I7_M1	0.83
188	P1_I42_M1	0.85
189	P1_I42_M1	0.89
190	P2_I7_M3	0.89
191	P2_I7_M2	0.84
192	P2_I7_M2	0.88
193	UNCLASSIFIED	NA
194	P1_I42_M1	0.92
195	P2_I7_M2	0.97
196	P2_I7_M2	0.97
197	P1_I42_M1	0.83
198	P1_I42_M1	0.91
199	UNCLASSIFIED	NA
200	P1_I42_M1	0.86
201	P1_I42_M1	0.97
202	P1_I42_M1	0.96
203	P3_I7_M3	0.85
204	P1_I42_M1	0.92
205	UNCLASSIFIED	NA
206	UNCLASSIFIED	NA
207	P1_I42_M1	0.83
208	UNCLASSIFIED	NA
209	P1_I42_M1	0.85
210	P4_I6_M1	0.86
211	P1_I42_M1	0.96
212	P1_I42_M1	0.86
213	P1_I42_M1	0.95
214	P1_I42_M1	0.9
215	UNCLASSIFIED	NA
216	P1_I42_M1	0.96
217	P1_I42_M1	0.92
218	UNCLASSIFIED	NA
219	UNCLASSIFIED	NA
220	P2_I7_M1	0.93
221	P2_I7_M1	0.89
222	P2_I7_M2	0.85
223	UNCLASSIFIED	NA
224	P1_I42_M1	0.97
225	P1_I42_M1	0.91
226	UNCLASSIFIED	NA
227	P1_I42_M1	0.93
228	UNCLASSIFIED	NA
229	P2_I7_M4	0.85
230	P1_I42_M1	0.98
231	UNCLASSIFIED	NA
232	P2_I7_M2	0.89
233	P1_I42_M1	0.94
234	P2_I7_M1	0.93
235	UNCLASSIFIED	NA
236	UNCLASSIFIED	NA
237	P2_I7_M3	0.95
238	P1_I42_M1	0.94
239	P1_I42_M1	0.92
240	UNCLASSIFIED	NA
241	P1_I42_M1	0.97
242	P1_I42_M1	0.95
243	P1_I42_M1	0.92
244	P1_I42_M1	0.91
245	P5_I5_M1	0.84
246	UNCLASSIFIED	NA
247	UNCLASSIFIED	NA
248	UNCLASSIFIED	NA
249	P1_I42_M1	0.97
250	P1_I42_M1	0.9
251	P1_I42_M1	0.88
252	P1_I42_M1	0.97
253	UNCLASSIFIED	NA
254	P1_I42_M1	0.84
255	P6_I5_M3	0.81
256	P1_I42_M1	0.92
257	P1_I42_M1	0.9
258	UNCLASSIFIED	NA
259	P1_I42_M1	0.95
260	P1_I42_M1	0.9
261	P1_I42_M1	0.94
262	P1_I42_M1	0.92
263	P1_I42_M1	0.95
264	UNCLASSIFIED	NA
265	P1_I42_M1	0.93
266	P1_I42_M1	0.95
267	UNCLASSIFIED	NA
268	UNCLASSIFIED	NA
269	P1_I42_M1	0.95
270	UNCLASSIFIED	NA
271	P2_I7_M2	0.9
272	P1_I42_M1	0.92
273	P1_I42_M1	0.97
274	UNCLASSIFIED	NA
275	P1_I42_M1	0.89
276	UNCLASSIFIED	NA
277	UNCLASSIFIED	NA
278	P1_I42_M1	0.95
279	UNCLASSIFIED	NA
280	P1_I42_M1	0.94
281	UNCLASSIFIED	NA
282	P2_I7_M1	0.81
283	P1_I42_M1	0.86
284	P1_I42_M1	0.93
285	P2_I7_M1	0.86
286	P2_I7_M2	0.96
287	P1_I42_M1	0.86
288	UNCLASSIFIED	NA
289	UNCLASSIFIED	NA
290	UNCLASSIFIED	NA
291	UNCLASSIFIED	NA
292	P1_I42_M1	0.89
293	P1_I42_M1	0.95
294	UNCLASSIFIED	NA
295	P1_I42_M1	0.83
296	P1_I42_M1	0.97
297	UNCLASSIFIED	NA
298	P1_I42_M1	0.89
299	P1_I42_M1	0.87
300	P2_I7_M3	0.84
301	P1_I42_M1	0.95
302	P1_I42_M1	0.93
303	P1_I42_M1	0.87
304	P2_I7_M2	0.92
305	P1_I42_M1	0.89
306	P1_I42_M1	0.85
307	P1_I42_M1	0.81
308	P1_I42_M1	0.95
309	P1_I42_M1	0.97
310	P1_I42_M1	0.92
311	P1_I42_M1	0.84
312	P1_I42_M1	0.96
313	P1_I42_M1	0.97
314	P2_I7_M1	0.84
315	P1_I42_M1	0.97
316	P2_I7_M3	0.89
317	P1_I42_M1	0.82
318	P1_I42_M1	0.94
319	P4_I6_M2	0.88
320	P1_I42_M1	0.93
321	UNCLASSIFIED	NA
322	P2_I7_M1	0.92
323	P1_I42_M1	0.9
324	P4_I6_M5	0.87
325	P1_I42_M1	0.92
326	UNCLASSIFIED	NA
327	P1_I42_M1	0.88
328	P1_I42_M1	0.88
329	UNCLASSIFIED	NA
330	P3_I7_M2	0.85
331	UNCLASSIFIED	NA
332	P1_I42_M1	0.91
333	UNCLASSIFIED	NA
334	P1_I42_M1	0.91
335	UNCLASSIFIED	NA
336	UNCLASSIFIED	NA
337	UNCLASSIFIED	NA
338	P2_I7_M1	0.81
339	P2_I7_M1	0.84
340	P1_I42_M1	0.91
341	UNCLASSIFIED	NA
342	UNCLASSIFIED	NA
343	UNCLASSIFIED	NA
344	P1_I42_M1	0.85
345	P1_I42_M1	0.92
346	P1_I42_M1	0.96
347	P1_I42_M1	0.96
348	UNCLASSIFIED	NA
349	P1_I42_M1	0.96
350	P1_I42_M1	0.93
351	P1_I42_M1	0.95
352	P1_I42_M1	0.95
353	P1_I42_M1	0.86
354	UNCLASSIFIED	NA
355	P2_I7_M2	0.82
356	P1_I42_M1	0.89
357	P1_I42_M1	0.88
358	P3_I7_M1	0.92
359	P1_I42_M1	0.94
360	P1_I42_M1	0.93
361	P1_I42_M1	0.91
362	P2_I7_M1	0.88
363	P1_I42_M1	0.86
364	P1_I42_M1	0.89
365	P1_I42_M1	0.83
366	P1_I42_M1	0.91
367	P1_I42_M1	0.9
368	P1_I42_M1	0.92
369	P7_I3_M2	0.83
370	P1_I42_M1	0.91
371	UNCLASSIFIED	NA
372	UNCLASSIFIED	NA
373	P1_I42_M1	0.8
374	UNCLASSIFIED	NA
375	P1_I42_M1	0.94
376	P1_I42_M1	0.89
377	P1_I42_M1	0.94
378	P1_I42_M1	0.88
379	P1_I42_M1	0.88
380	P2_I7_M2	0.95
381	P1_I42_M1	0.93
382	UNCLASSIFIED	NA
383	P4_I6_M3	0.91
384	UNCLASSIFIED	NA
385	P1_I42_M1	0.92
386	P3_I7_M5	0.86
387	P1_I42_M1	0.87
388	P1_I42_M1	0.96
389	P2_I7_M3	0.95
390	P2_I7_M2	0.87
391	UNCLASSIFIED	NA
392	UNCLASSIFIED	NA
393	P1_I42_M1	0.9
394	UNCLASSIFIED	NA
395	P2_I7_M2	0.82
396	P1_I42_M1	0.98
397	UNCLASSIFIED	NA
398	UNCLASSIFIED	NA
399	P1_I42_M1	0.9
400	P1_I42_M1	0.97
401	P1_I42_M1	0.89
402	UNCLASSIFIED	NA
403	P1_I42_M1	0.96
404	P1_I42_M1	0.92
405	UNCLASSIFIED	NA
406	UNCLASSIFIED	NA
407	UNCLASSIFIED	NA
408	P1_I42_M1	0.88
409	P1_I42_M1	0.88
410	P1_I42_M1	0.87
411	P1_I42_M1	0.98
412	UNCLASSIFIED	NA
413	P1_I42_M1	0.95
414	P1_I42_M1	0.92
415	P2_I7_M4	0.9
416	UNCLASSIFIED	NA
417	UNCLASSIFIED	NA
418	P2_I7_M3	0.88
419	P1_I42_M1	0.91
420	P2_I7_M3	0.9
421	P1_I42_M1	0.87
422	P2_I7_M1	0.93
423	P1_I42_M1	0.95
424	P1_I42_M1	0.96
425	P1_I42_M1	0.94
426	P2_I7_M3	0.9
427	UNCLASSIFIED	NA
428	P2_I7_M2	0.97
429	P1_I42_M1	0.85
430	UNCLASSIFIED	NA
431	P2_I7_M3	0.9
432	P1_I42_M1	0.94
433	UNCLASSIFIED	NA
434	P2_I7_M2	0.92
435	P1_I42_M1	0.95
436	P5_I5_M2	0.83
437	P1_I42_M1	0.9
438	P1_I42_M1	0.84
439	P1_I42_M1	0.93
440	P1_I42_M1	0.89
441	UNCLASSIFIED	NA
442	UNCLASSIFIED	NA
443	P1_I42_M1	0.93
444	P3_I7_M1	0.87
445	P2_I7_M3	0.81
446	P1_I42_M1	0.95
447	P2_I7_M3	0.96
448	P1_I42_M1	0.9
449	P1_I42_M1	0.95
450	P1_I42_M1	0.97
451	UNCLASSIFIED	NA
452	UNCLASSIFIED	NA
453	UNCLASSIFIED	NA
454	P1_I42_M1	0.91
455	UNCLASSIFIED	NA
456	P1_I42_M1	0.96
457	P1_I42_M1	0.96
458	P3_I7_M7	0.91
459	P1_I42_M1	0.92
460	P1_I42_M1	0.95
461	P1_I42_M1	0.96
462	P1_I42_M1	0.95
463	P1_I42_M1	0.94
464	P1_I42_M1	0.92
465	P1_I42_M1	0.8
466	UNCLASSIFIED	NA
467	P1_I42_M1	0.95
468	P3_I7_M6	0.87
469	P2_I7_M1	0.9
470	P1_I42_M1	0.96
471	P1_I42_M1	0.97
472	UNCLASSIFIED	NA
473	UNCLASSIFIED	NA
474	UNCLASSIFIED	NA
475	P3_I7_M6	0.83
476	P1_I42_M1	0.97
477	UNCLASSIFIED	NA
478	P1_I42_M1	0.9
479	P2_I7_M1	0.87
480	P1_I42_M1	0.89
481	P1_I42_M1	0.9
482	P1_I42_M1	0.9
483	P1_I42_M1	0.94
484	UNCLASSIFIED	NA
485	UNCLASSIFIED	NA
486	P1_I42_M1	0.93
487	P1_I42_M1	0.96
488	P1_I42_M1	0.87
489	P1_I42_M1	0.97
490	P1_I42_M1	0.89
491	P1_I42_M1	0.93
492	P2_I7_M4	0.97
493	UNCLASSIFIED	NA
494	P1_I42_M1	0.94
495	P2_I7_M3	0.9
496	P1_I42_M1	0.95
497	P4_I6_M2	0.83
498	UNCLASSIFIED	NA
499	P1_I42_M1	0.95
500	P1_I42_M1	0.96
501	UNCLASSIFIED	NA
502	P1_I42_M1	0.94
503	P1_I42_M1	0.92
504	P2_I7_M3	0.94
505	P2_I7_M4	0.87
506	P1_I42_M1	0.94
507	UNCLASSIFIED	NA
508	P2_I7_M1	0.87
509	P2_I7_M1	0.86
510	P1_I42_M1	0.92
511	P1_I42_M1	0.94
512	P1_I42_M1	0.95
513	P1_I42_M1	0.87
514	P1_I42_M1	0.95
515	UNCLASSIFIED	NA
516	P2_I7_M1	0.82
517	P1_I42_M1	0.96
518	P1_I42_M1	0.94
519	P1_I42_M1	0.93
520	UNCLASSIFIED	NA
521	P2_I7_M2	0.95
522	UNCLASSIFIED	NA
523	P1_I42_M1	0.83
524	UNCLASSIFIED	NA
525	P1_I42_M1	0.96
526	P1_I42_M1	0.95
527	UNCLASSIFIED	NA
528	P2_I7_M1	0.9
529	UNCLASSIFIED	NA
530	UNCLASSIFIED	NA
531	UNCLASSIFIED	NA
532	P1_I42_M1	0.92
533	P1_I42_M1	0.95
534	UNCLASSIFIED	NA
535	P2_I7_M2	0.98
536	P1_I42_M1	0.89
537	P3_I7_M3	0.86
538	P1_I42_M1	0.98
539	P1_I42_M1	0.94
540	UNCLASSIFIED	NA
541	UNCLASSIFIED	NA
542	UNCLASSIFIED	NA
543	UNCLASSIFIED	NA
544	UNCLASSIFIED	NA
545	UNCLASSIFIED	NA
546	UNCLASSIFIED	NA
547	P1_I42_M1	0.97
548	P1_I42_M1	0.93
549	UNCLASSIFIED	NA
550	P1_I42_M1	0.97
551	UNCLASSIFIED	NA
552	P2_I7_M3	0.88
553	UNCLASSIFIED	NA
554	P1_I42_M1	0.94
555	UNCLASSIFIED	NA
556	UNCLASSIFIED	NA
557	P1_I42_M1	0.9
558	P1_I42_M1	0.97
559	P1_I42_M1	0.95
560	P1_I42_M1	0.97
561	P2_I7_M1	0.95
562	P3_I7_M7	0.88
563	UNCLASSIFIED	NA
564	P1_I42_M1	0.97
565	P1_I42_M1	0.86
566	UNCLASSIFIED	NA
567	P1_I42_M1	0.93
568	P1_I42_M1	0.93
569	P1_I42_M1	0.92
570	P1_I42_M1	0.9
571	UNCLASSIFIED	NA
572	P2_I7_M2	0.94
573	UNCLASSIFIED	NA
574	UNCLASSIFIED	NA
575	UNCLASSIFIED	NA
576	P1_I42_M1	0.97
577	UNCLASSIFIED	NA
578	P1_I42_M1	0.87
579	P1_I42_M1	0.88
580	P4_I6_M5	0.94
581	P2_I7_M3	0.82
582	P3_I7_M1	0.92
583	P1_I42_M1	0.86
584	P1_I42_M1	0.89
585	P1_I42_M1	0.95
586	P2_I7_M3	0.9
587	P3_I7_M1	0.84
588	UNCLASSIFIED	NA
589	P2_I7_M1	0.86
590	UNCLASSIFIED	NA
591	P1_I42_M1	0.95
592	P1_I42_M1	0.96
593	P3_I7_M3	0.92
594	UNCLASSIFIED	NA
595	P1_I42_M1	0.92
596	P1_I42_M1	0.87
597	UNCLASSIFIED	NA
598	P1_I42_M1	0.89
599	P2_I7_M2	0.89
600	UNCLASSIFIED	NA
601	UNCLASSIFIED	NA
602	P1_I42_M1	0.91
603	UNCLASSIFIED	NA
604	UNCLASSIFIED	NA
605	P1_I42_M1	0.93
606	P1_I42_M1	0.95
607	P3_I7_M4	0.83
608	P1_I42_M1	0.83
609	P1_I42_M1	0.86
610	P1_I42_M1	0.97
611	P1_I42_M1	0.91
612	UNCLASSIFIED	NA
613	P1_I42_M1	0.84
614	P1_I42_M1	0.92
615	UNCLASSIFIED	NA
616	UNCLASSIFIED	NA
617	P1_I42_M1	0.97
618	P3_I7_M7	0.95
619	UNCLASSIFIED	NA
620	P1_I42_M1	0.9
621	P2_I7_M2	0.92
622	P1_I42_M1	0.94
623	P2_I7_M3	0.91
624	P3_I7_M1	0.82
625	P1_I42_M1	0.86
626	P1_I42_M1	0.95
627	UNCLASSIFIED	NA
628	P1_I42_M1	0.87
629	P1_I42_M1	0.94
630	P1_I42_M1	0.95
631	P1_I42_M1	0.92
632	P1_I42_M1	0.81
633	P1_I42_M1	0.96
634	P1_I42_M1	0.92
635	P3_I7_M7	0.95
636	P1_I42_M1	0.94
637	P1_I42_M1	0.88
638	P1_I42_M1	0.92
639	P1_I42_M1	0.86
640	P1_I42_M1	0.94
641	P1_I42_M1	0.87
642	P1_I42_M1	0.98
643	P1_I42_M1	0.95
644	P1_I42_M1	0.89
645	P1_I42_M1	0.91
646	P1_I42_M1	0.84
647	P1_I42_M1	0.95
648	P1_I42_M1	0.92
649	UNCLASSIFIED	NA
650	P3_I7_M3	0.86
651	P1_I42_M1	0.88
652	P1_I42_M1	0.89
653	P2_I7_M2	0.8
654	P1_I42_M1	0.95
655	P1_I42_M1	0.93
656	P5_I5_M1	0.84
657	P1_I42_M1	0.82
658	P1_I42_M1	0.9
659	P1_I42_M1	0.96
660	UNCLASSIFIED	NA
661	UNCLASSIFIED	NA
662	P1_I42_M1	0.96
663	P8_I4_M1	0.86
664	P1_I42_M1	0.96
665	P1_I42_M1	0.94
666	UNCLASSIFIED	NA
667	P3_I7_M2	0.8
668	P3_I7_M5	0.95
669	P2_I7_M1	0.93
670	UNCLASSIFIED	NA
671	P1_I42_M1	0.9
672	P1_I42_M1	0.94
673	P1_I42_M1	0.95
674	UNCLASSIFIED	NA
675	P1_I42_M1	0.94
676	UNCLASSIFIED	NA
677	P1_I42_M1	0.94
678	P1_I42_M1	0.94
679	P1_I42_M1	0.94
680	P1_I42_M1	0.95
681	P1_I42_M1	0.88
682	UNCLASSIFIED	NA
683	P1_I42_M1	0.93
684	P1_I42_M1	0.94
685	UNCLASSIFIED	NA
686	P2_I7_M1	0.94
687	P2_I7_M4	0.89
688	P1_I42_M1	0.89
689	UNCLASSIFIED	NA
690	P6_I5_M1	0.82
691	UNCLASSIFIED	NA
692	P1_I42_M1	0.96
693	P1_I42_M1	0.94
694	P1_I42_M1	0.87
695	P5_I5_M2	0.86
696	P1_I42_M1	0.9
697	UNCLASSIFIED	NA
698	P1_I42_M1	0.9
699	P1_I42_M1	0.96
700	P1_I42_M1	0.86
701	P1_I42_M1	0.97
702	P2_I7_M1	0.81
703	P1_I42_M1	0.94
704	P2_I7_M3	0.83
705	UNCLASSIFIED	NA
706	P1_I42_M1	0.87
707	UNCLASSIFIED	NA
708	P1_I42_M1	0.92
709	P1_I42_M1	0.89
710	P1_I42_M1	0.94
711	P2_I7_M1	0.8
712	UNCLASSIFIED	NA
713	P1_I42_M1	0.92
714	P1_I42_M1	0.88
715	UNCLASSIFIED	NA
716	P2_I7_M2	0.87
717	P2_I7_M2	0.88
718	P1_I42_M1	0.96
719	P1_I42_M1	0.95
720	UNCLASSIFIED	NA
721	UNCLASSIFIED	NA
722	P3_I7_M3	0.92
723	P1_I42_M1	0.9
724	P1_I42_M1	0.92
725	P1_I42_M1	0.94
726	P2_I7_M3	0.81
727	P2_I7_M2	0.97
728	UNCLASSIFIED	NA
729	P1_I42_M1	0.89
730	P1_I42_M1	0.9
731	P1_I42_M1	0.92
732	UNCLASSIFIED	NA
733	UNCLASSIFIED	NA
734	UNCLASSIFIED	NA
735	P2_I7_M2	0.95
736	P1_I42_M1	0.93
737	P1_I42_M1	0.94
738	P1_I42_M1	0.93
739	P1_I42_M1	0.95
740	P1_I42_M1	0.88
741	P2_I7_M3	0.9
742	UNCLASSIFIED	NA
743	UNCLASSIFIED	NA
744	P2_I7_M2	0.88
745	UNCLASSIFIED	NA
746	P1_I42_M1	0.9
747	UNCLASSIFIED	NA
748	P2_I7_M3	0.94
749	UNCLASSIFIED	NA
750	P2_I7_M2	0.83
751	P1_I42_M1	0.94
752	P1_I42_M1	0.96
753	P1_I42_M1	0.93
754	P1_I42_M1	0.91
755	P1_I42_M1	0.84
756	P3_I7_M4	0.85
757	UNCLASSIFIED	NA
758	P2_I7_M4	0.82
759	P2_I7_M2	0.81
760	P2_I7_M2	0.82
761	UNCLASSIFIED	NA
762	P1_I42_M1	0.89
763	UNCLASSIFIED	NA
764	P2_I7_M2	0.98
765	UNCLASSIFIED	NA
766	P1_I42_M1	0.94
767	P1_I42_M1	0.85
768	UNCLASSIFIED	NA
769	UNCLASSIFIED	NA
770	P2_I7_M3	0.84
771	P1_I42_M1	0.83
772	P2_I7_M3	0.85
773	UNCLASSIFIED	NA
774	P2_I7_M3	0.86
775	P1_I42_M1	0.85
776	UNCLASSIFIED	NA
777	P1_I42_M1	0.82
778	P1_I42_M1	0.91
779	P1_I42_M1	0.88
780	P1_I42_M1	0.87
781	P1_I42_M1	0.93
782	P3_I7_M5	0.88
783	P5_I5_M2	0.85
784	UNCLASSIFIED	NA
785	P1_I42_M1	0.89
786	UNCLASSIFIED	NA
787	UNCLASSIFIED	NA
788	P2_I7_M2	0.98
789	P2_I7_M2	0.84
790	P1_I42_M1	0.92
791	UNCLASSIFIED	NA
792	UNCLASSIFIED	NA
793	P1_I42_M1	0.95
794	P1_I42_M1	0.89
795	P1_I42_M1	0.93
796	UNCLASSIFIED	NA
797	P1_I42_M1	0.91
798	P1_I42_M1	0.87
799	P1_I42_M1	0.9
800	UNCLASSIFIED	NA
801	UNCLASSIFIED	NA
802	UNCLASSIFIED	NA
803	P3_I7_M8	0.93
804	P1_I42_M1	0.93
805	P1_I42_M1	0.96
806	UNCLASSIFIED	NA
807	P2_I7_M2	0.9
808	P3_I7_M3	0.83
809	P1_I42_M1	0.93
810	P4_I6_M2	0.83
811	P1_I42_M1	0.91
812	P2_I7_M1	0.85
813	P1_I42_M1	0.88
814	P2_I7_M1	0.84
815	P5_I5_M2	0.88
816	P1_I42_M1	0.88
817	P1_I42_M1	0.92
818	UNCLASSIFIED	NA
819	P1_I42_M1	0.94
820	P1_I42_M1	0.96
821	UNCLASSIFIED	NA
822	UNCLASSIFIED	NA
823	UNCLASSIFIED	NA
824	UNCLASSIFIED	NA
825	UNCLASSIFIED	NA
826	UNCLASSIFIED	NA
827	P2_I7_M1	0.85
828	UNCLASSIFIED	NA
829	P2_I7_M4	0.92
830	P1_I42_M1	0.93
831	P5_I5_M3	0.96
832	P1_I42_M1	0.92
833	P1_I42_M1	0.86
834	UNCLASSIFIED	NA
835	P1_I42_M1	0.91
836	P1_I42_M1	0.96
837	UNCLASSIFIED	NA
838	P1_I42_M1	0.85
839	P1_I42_M1	0.97
840	UNCLASSIFIED	NA
841	P1_I42_M1	0.91
842	P1_I42_M1	0.9
843	P1_I42_M1	0.84
844	P3_I7_M5	0.95
845	P1_I42_M1	0.95
846	P4_I6_M2	0.94
847	P2_I7_M2	0.96
848	P2_I7_M4	0.89
849	P2_I7_M1	0.86
850	P1_I42_M1	0.9
851	P1_I42_M1	0.88
852	P1_I42_M1	0.94
853	UNCLASSIFIED	NA
854	P1_I42_M1	0.95
855	P1_I42_M1	0.97
856	P1_I42_M1	0.94
857	P1_I42_M1	0.95
858	P1_I42_M1	0.8
859	P1_I42_M1	0.92
860	P6_I5_M2	0.85
861	P1_I42_M1	0.84
862	P1_I42_M1	0.94
863	P1_I42_M1	0.97
864	UNCLASSIFIED	NA
865	UNCLASSIFIED	NA
866	UNCLASSIFIED	NA
867	P1_I42_M1	0.9
868	P1_I42_M1	0.97
869	P1_I42_M1	0.94
870	P1_I42_M1	0.95
871	P1_I42_M1	0.87
872	P1_I42_M1	0.91
873	P1_I42_M1	0.92
874	P1_I42_M1	0.89
875	P1_I42_M1	0.86
876	UNCLASSIFIED	NA
877	UNCLASSIFIED	NA
878	P1_I42_M1	0.89
879	P1_I42_M1	0.94
880	P1_I42_M1	0.96
881	UNCLASSIFIED	NA
882	P3_I7_M6	0.92
883	P4_I6_M4	0.88
884	UNCLASSIFIED	NA
885	UNCLASSIFIED	NA
886	UNCLASSIFIED	NA
887	P1_I42_M1	0.95
888	P1_I42_M1	0.97
889	UNCLASSIFIED	NA
890	P3_I7_M6	0.82
891	P1_I42_M1	0.95
892	P2_I7_M3	0.95
893	P1_I42_M1	0.93
894	P1_I42_M1	0.91
895	P1_I42_M1	0.91
896	P2_I7_M4	0.97
897	UNCLASSIFIED	NA
898	P8_I4_M1	0.81
899	UNCLASSIFIED	NA
900	P1_I42_M1	0.96
901	P1_I42_M1	0.96
902	P2_I7_M3	0.88
903	UNCLASSIFIED	NA
904	UNCLASSIFIED	NA
905	P1_I42_M1	0.93
906	UNCLASSIFIED	NA
907	UNCLASSIFIED	NA
908	UNCLASSIFIED	NA
909	UNCLASSIFIED	NA
910	UNCLASSIFIED	NA
911	P1_I42_M1	0.94
912	UNCLASSIFIED	NA
913	P1_I42_M1	0.94
914	P1_I42_M1	0.87
