Gene	Module	kME
123	UNCLASSIFIED	NA
124	UNCLASSIFIED	NA
125	UNCLASSIFIED	NA
126	UNCLASSIFIED	NA
127	P5_I4_M5	0.86
128	UNCLASSIFIED	NA
129	UNCLASSIFIED	NA
130	UNCLASSIFIED	NA
131	P3_I7_M1	0.87
132	UNCLASSIFIED	NA
133	UNCLASSIFIED	NA
134	UNCLASSIFIED	NA
135	UNCLASSIFIED	NA
136	UNCLASSIFIED	NA
137	UNCLASSIFIED	NA
138	P1_I4_M1	0.98
139	UNCLASSIFIED	NA
140	UNCLASSIFIED	NA
141	P2_I12_M1	0.88
142	UNCLASSIFIED	NA
143	P2_I12_M1	0.89
144	UNCLASSIFIED	NA
145	UNCLASSIFIED	NA
146	UNCLASSIFIED	NA
147	UNCLASSIFIED	NA
148	UNCLASSIFIED	NA
149	P3_I7_M4	0.84
150	UNCLASSIFIED	NA
151	P2_I12_M3	0.84
152	P2_I12_M1	0.84
153	UNCLASSIFIED	NA
154	P4_I7_M2	0.8
155	UNCLASSIFIED	NA
156	UNCLASSIFIED	NA
157	UNCLASSIFIED	NA
158	P2_I12_M2	0.84
159	UNCLASSIFIED	NA
160	P8_I3_M1	0.85
161	P10_I6_M2	0.84
162	P4_I7_M1	0.85
163	UNCLASSIFIED	NA
164	P2_I12_M5	0.81
165	UNCLASSIFIED	NA
166	UNCLASSIFIED	NA
167	P1_I4_M1	0.89
168	P3_I7_M1	0.85
169	UNCLASSIFIED	NA
170	UNCLASSIFIED	NA
171	UNCLASSIFIED	NA
172	UNCLASSIFIED	NA
173	P4_I7_M3	0.84
174	UNCLASSIFIED	NA
175	UNCLASSIFIED	NA
176	UNCLASSIFIED	NA
177	P7_I3_M3	0.92
178	P4_I7_M1	0.88
179	UNCLASSIFIED	NA
180	P2_I12_M1	0.9
181	UNCLASSIFIED	NA
182	UNCLASSIFIED	NA
183	UNCLASSIFIED	NA
184	P1_I4_M1	0.96
185	UNCLASSIFIED	NA
186	UNCLASSIFIED	NA
187	P2_I12_M4	0.87
188	UNCLASSIFIED	NA
189	UNCLASSIFIED	NA
190	UNCLASSIFIED	NA
191	UNCLASSIFIED	NA
192	UNCLASSIFIED	NA
193	UNCLASSIFIED	NA
194	P4_I7_M2	0.88
195	UNCLASSIFIED	NA
196	UNCLASSIFIED	NA
197	UNCLASSIFIED	NA
198	P2_I12_M3	0.91
199	P1_I4_M1	0.91
200	P2_I12_M4	0.81
201	P4_I7_M1	0.83
202	UNCLASSIFIED	NA
203	P7_I3_M3	0.85
204	P4_I7_M2	0.83
205	UNCLASSIFIED	NA
206	UNCLASSIFIED	NA
207	P9_I6_M1	0.87
208	UNCLASSIFIED	NA
209	UNCLASSIFIED	NA
210	P6_I4_M1	0.82
211	UNCLASSIFIED	NA
212	UNCLASSIFIED	NA
213	P2_I12_M1	0.9
214	P10_I6_M4	0.85
215	UNCLASSIFIED	NA
216	UNCLASSIFIED	NA
217	UNCLASSIFIED	NA
218	P5_I4_M2	0.86
219	P5_I4_M2	0.85
220	UNCLASSIFIED	NA
221	UNCLASSIFIED	NA
222	UNCLASSIFIED	NA
223	UNCLASSIFIED	NA
224	P2_I12_M1	0.85
225	P8_I3_M3	0.81
226	UNCLASSIFIED	NA
227	P2_I12_M3	0.83
228	UNCLASSIFIED	NA
229	P3_I7_M2	0.85
230	UNCLASSIFIED	NA
231	UNCLASSIFIED	NA
232	UNCLASSIFIED	NA
233	P2_I12_M2	0.89
234	UNCLASSIFIED	NA
235	UNCLASSIFIED	NA
236	UNCLASSIFIED	NA
237	P2_I12_M2	0.88
238	P4_I7_M1	0.82
239	P1_I4_M1	0.92
240	UNCLASSIFIED	NA
241	UNCLASSIFIED	NA
242	P3_I7_M6	0.97
243	P1_I4_M1	0.94
244	P2_I12_M2	0.83
245	UNCLASSIFIED	NA
246	UNCLASSIFIED	NA
247	UNCLASSIFIED	NA
248	P1_I4_M1	0.96
249	P5_I4_M3	0.87
250	P4_I7_M3	0.83
251	UNCLASSIFIED	NA
252	UNCLASSIFIED	NA
253	UNCLASSIFIED	NA
254	UNCLASSIFIED	NA
255	UNCLASSIFIED	NA
256	P2_I12_M2	0.83
257	P1_I4_M1	0.94
258	UNCLASSIFIED	NA
259	UNCLASSIFIED	NA
260	UNCLASSIFIED	NA
261	P3_I7_M5	0.87
262	UNCLASSIFIED	NA
263	P2_I12_M3	0.83
264	UNCLASSIFIED	NA
265	P5_I4_M1	0.81
266	UNCLASSIFIED	NA
267	UNCLASSIFIED	NA
268	UNCLASSIFIED	NA
269	UNCLASSIFIED	NA
270	UNCLASSIFIED	NA
271	UNCLASSIFIED	NA
272	P4_I7_M1	0.83
273	UNCLASSIFIED	NA
274	P4_I7_M2	0.81
275	P4_I7_M4	0.86
276	UNCLASSIFIED	NA
277	UNCLASSIFIED	NA
278	UNCLASSIFIED	NA
279	UNCLASSIFIED	NA
280	UNCLASSIFIED	NA
281	UNCLASSIFIED	NA
282	UNCLASSIFIED	NA
283	P2_I12_M5	0.89
284	UNCLASSIFIED	NA
285	UNCLASSIFIED	NA
286	UNCLASSIFIED	NA
287	UNCLASSIFIED	NA
288	UNCLASSIFIED	NA
289	UNCLASSIFIED	NA
290	UNCLASSIFIED	NA
291	UNCLASSIFIED	NA
292	P1_I4_M1	0.84
293	UNCLASSIFIED	NA
294	UNCLASSIFIED	NA
295	UNCLASSIFIED	NA
296	P2_I12_M2	0.83
297	UNCLASSIFIED	NA
298	UNCLASSIFIED	NA
299	UNCLASSIFIED	NA
300	UNCLASSIFIED	NA
301	P3_I7_M3	0.87
302	P2_I12_M1	0.92
303	UNCLASSIFIED	NA
304	UNCLASSIFIED	NA
305	UNCLASSIFIED	NA
306	UNCLASSIFIED	NA
307	UNCLASSIFIED	NA
308	UNCLASSIFIED	NA
309	P5_I4_M1	0.86
310	UNCLASSIFIED	NA
311	UNCLASSIFIED	NA
312	P1_I4_M1	0.98
313	UNCLASSIFIED	NA
314	UNCLASSIFIED	NA
315	UNCLASSIFIED	NA
316	UNCLASSIFIED	NA
317	P1_I4_M1	0.96
318	UNCLASSIFIED	NA
319	UNCLASSIFIED	NA
320	P3_I7_M1	0.81
321	UNCLASSIFIED	NA
322	P10_I6_M4	0.83
323	UNCLASSIFIED	NA
324	UNCLASSIFIED	NA
325	P4_I7_M4	0.84
326	UNCLASSIFIED	NA
327	UNCLASSIFIED	NA
328	P1_I4_M1	0.98
329	P5_I4_M3	0.81
330	UNCLASSIFIED	NA
331	UNCLASSIFIED	NA
332	UNCLASSIFIED	NA
333	UNCLASSIFIED	NA
334	P2_I12_M3	0.88
335	UNCLASSIFIED	NA
336	P1_I4_M1	0.97
337	UNCLASSIFIED	NA
338	UNCLASSIFIED	NA
339	P1_I4_M1	0.98
340	UNCLASSIFIED	NA
341	P3_I7_M4	0.81
342	UNCLASSIFIED	NA
343	UNCLASSIFIED	NA
344	UNCLASSIFIED	NA
345	UNCLASSIFIED	NA
346	UNCLASSIFIED	NA
347	UNCLASSIFIED	NA
348	UNCLASSIFIED	NA
349	P2_I12_M1	0.94
350	P2_I12_M1	0.85
351	UNCLASSIFIED	NA
352	UNCLASSIFIED	NA
353	UNCLASSIFIED	NA
354	UNCLASSIFIED	NA
355	UNCLASSIFIED	NA
356	UNCLASSIFIED	NA
357	P3_I7_M1	0.83
358	P2_I12_M3	0.89
359	UNCLASSIFIED	NA
360	UNCLASSIFIED	NA
361	P4_I7_M1	0.81
362	P2_I12_M5	0.89
363	UNCLASSIFIED	NA
364	UNCLASSIFIED	NA
365	UNCLASSIFIED	NA
366	P3_I7_M5	0.9
367	P1_I4_M1	0.96
368	UNCLASSIFIED	NA
369	P5_I4_M2	0.82
370	P4_I7_M4	0.85
371	UNCLASSIFIED	NA
372	P5_I4_M2	0.87
373	UNCLASSIFIED	NA
374	UNCLASSIFIED	NA
375	UNCLASSIFIED	NA
376	UNCLASSIFIED	NA
377	P4_I7_M2	0.85
378	P2_I12_M1	0.84
379	UNCLASSIFIED	NA
380	UNCLASSIFIED	NA
381	P3_I7_M1	0.85
382	UNCLASSIFIED	NA
383	UNCLASSIFIED	NA
384	UNCLASSIFIED	NA
385	UNCLASSIFIED	NA
386	UNCLASSIFIED	NA
387	UNCLASSIFIED	NA
388	UNCLASSIFIED	NA
389	UNCLASSIFIED	NA
390	UNCLASSIFIED	NA
391	P2_I12_M1	0.91
392	P2_I12_M2	0.86
393	P2_I12_M2	0.86
394	UNCLASSIFIED	NA
395	P1_I4_M1	0.95
396	UNCLASSIFIED	NA
397	UNCLASSIFIED	NA
398	UNCLASSIFIED	NA
399	UNCLASSIFIED	NA
400	P3_I7_M1	0.9
401	UNCLASSIFIED	NA
402	UNCLASSIFIED	NA
403	UNCLASSIFIED	NA
404	UNCLASSIFIED	NA
405	UNCLASSIFIED	NA
406	UNCLASSIFIED	NA
407	UNCLASSIFIED	NA
408	P1_I4_M1	0.93
409	UNCLASSIFIED	NA
410	UNCLASSIFIED	NA
411	P2_I12_M1	0.8
412	UNCLASSIFIED	NA
413	P1_I4_M1	0.99
414	P2_I12_M1	0.9
415	UNCLASSIFIED	NA
416	UNCLASSIFIED	NA
417	UNCLASSIFIED	NA
418	P1_I4_M1	0.97
419	P5_I4_M1	0.82
420	P3_I7_M1	0.88
421	UNCLASSIFIED	NA
422	UNCLASSIFIED	NA
423	P2_I12_M1	0.87
424	P9_I6_M3	0.88
425	UNCLASSIFIED	NA
426	P2_I12_M1	0.82
427	UNCLASSIFIED	NA
428	P1_I4_M1	0.99
429	UNCLASSIFIED	NA
430	UNCLASSIFIED	NA
431	UNCLASSIFIED	NA
432	UNCLASSIFIED	NA
433	UNCLASSIFIED	NA
434	UNCLASSIFIED	NA
435	P2_I12_M1	0.85
436	UNCLASSIFIED	NA
437	UNCLASSIFIED	NA
438	P1_I4_M1	0.97
439	P5_I4_M1	0.8
440	P2_I12_M1	0.91
441	P5_I4_M2	0.88
442	UNCLASSIFIED	NA
443	UNCLASSIFIED	NA
444	P2_I12_M4	0.87
445	UNCLASSIFIED	NA
446	UNCLASSIFIED	NA
447	UNCLASSIFIED	NA
448	UNCLASSIFIED	NA
449	P2_I12_M1	0.86
450	UNCLASSIFIED	NA
451	P4_I7_M6	0.83
452	UNCLASSIFIED	NA
453	UNCLASSIFIED	NA
454	P4_I7_M1	0.89
455	UNCLASSIFIED	NA
456	P2_I12_M2	0.86
457	P1_I4_M1	0.98
458	P3_I7_M2	0.81
459	P2_I12_M5	0.81
460	UNCLASSIFIED	NA
461	P2_I12_M1	0.87
462	P3_I7_M1	0.88
463	UNCLASSIFIED	NA
464	UNCLASSIFIED	NA
465	UNCLASSIFIED	NA
466	UNCLASSIFIED	NA
467	UNCLASSIFIED	NA
468	UNCLASSIFIED	NA
469	UNCLASSIFIED	NA
470	UNCLASSIFIED	NA
471	P2_I12_M2	0.81
472	UNCLASSIFIED	NA
473	UNCLASSIFIED	NA
474	P4_I7_M2	0.81
475	UNCLASSIFIED	NA
476	UNCLASSIFIED	NA
477	UNCLASSIFIED	NA
478	UNCLASSIFIED	NA
479	UNCLASSIFIED	NA
480	P1_I4_M1	0.86
481	UNCLASSIFIED	NA
482	UNCLASSIFIED	NA
483	P3_I7_M5	0.92
484	UNCLASSIFIED	NA
485	UNCLASSIFIED	NA
486	UNCLASSIFIED	NA
487	P2_I12_M2	0.93
488	UNCLASSIFIED	NA
489	UNCLASSIFIED	NA
490	UNCLASSIFIED	NA
491	UNCLASSIFIED	NA
492	UNCLASSIFIED	NA
493	UNCLASSIFIED	NA
494	UNCLASSIFIED	NA
495	UNCLASSIFIED	NA
496	UNCLASSIFIED	NA
497	P3_I7_M3	0.82
498	UNCLASSIFIED	NA
499	UNCLASSIFIED	NA
500	UNCLASSIFIED	NA
501	UNCLASSIFIED	NA
502	P4_I7_M3	0.85
503	P2_I12_M2	0.87
504	UNCLASSIFIED	NA
505	UNCLASSIFIED	NA
506	P2_I12_M2	0.83
507	UNCLASSIFIED	NA
508	UNCLASSIFIED	NA
509	P7_I3_M3	0.84
510	P2_I12_M1	0.94
511	UNCLASSIFIED	NA
512	P2_I12_M3	0.94
513	P6_I4_M1	0.88
514	P2_I12_M1	0.89
515	UNCLASSIFIED	NA
516	UNCLASSIFIED	NA
517	UNCLASSIFIED	NA
518	UNCLASSIFIED	NA
519	UNCLASSIFIED	NA
520	UNCLASSIFIED	NA
521	UNCLASSIFIED	NA
522	P2_I12_M4	0.9
523	UNCLASSIFIED	NA
524	UNCLASSIFIED	NA
525	UNCLASSIFIED	NA
526	P4_I7_M2	0.87
527	UNCLASSIFIED	NA
528	UNCLASSIFIED	NA
529	UNCLASSIFIED	NA
530	UNCLASSIFIED	NA
531	UNCLASSIFIED	NA
532	UNCLASSIFIED	NA
533	UNCLASSIFIED	NA
534	P2_I12_M4	0.92
535	P2_I12_M4	0.84
536	UNCLASSIFIED	NA
537	UNCLASSIFIED	NA
538	UNCLASSIFIED	NA
539	P1_I4_M1	0.96
540	UNCLASSIFIED	NA
541	UNCLASSIFIED	NA
542	P2_I12_M4	0.84
543	UNCLASSIFIED	NA
544	UNCLASSIFIED	NA
545	UNCLASSIFIED	NA
546	P1_I4_M1	0.98
547	P5_I4_M1	0.82
548	P7_I3_M2	0.86
549	UNCLASSIFIED	NA
550	P2_I12_M3	0.83
551	UNCLASSIFIED	NA
552	P2_I12_M3	0.9
553	UNCLASSIFIED	NA
554	P2_I12_M1	0.85
555	UNCLASSIFIED	NA
556	UNCLASSIFIED	NA
557	P1_I4_M1	0.97
558	UNCLASSIFIED	NA
559	P2_I12_M1	0.88
560	UNCLASSIFIED	NA
561	UNCLASSIFIED	NA
562	UNCLASSIFIED	NA
563	P3_I7_M5	0.82
564	P2_I12_M1	0.9
565	UNCLASSIFIED	NA
566	UNCLASSIFIED	NA
567	P2_I12_M2	0.9
568	UNCLASSIFIED	NA
569	P2_I12_M5	0.89
570	P3_I7_M1	0.85
571	UNCLASSIFIED	NA
572	UNCLASSIFIED	NA
573	UNCLASSIFIED	NA
574	UNCLASSIFIED	NA
575	UNCLASSIFIED	NA
576	P2_I12_M1	0.85
577	UNCLASSIFIED	NA
578	UNCLASSIFIED	NA
579	UNCLASSIFIED	NA
580	UNCLASSIFIED	NA
581	UNCLASSIFIED	NA
582	UNCLASSIFIED	NA
583	UNCLASSIFIED	NA
584	P2_I12_M2	0.86
585	P2_I12_M1	0.88
586	P4_I7_M4	0.86
587	UNCLASSIFIED	NA
588	UNCLASSIFIED	NA
589	UNCLASSIFIED	NA
590	UNCLASSIFIED	NA
591	P2_I12_M1	0.92
592	P4_I7_M3	0.81
593	P7_I3_M3	0.88
594	P1_I4_M1	0.98
595	P3_I7_M5	0.87
596	UNCLASSIFIED	NA
597	UNCLASSIFIED	NA
598	P2_I12_M3	0.87
599	UNCLASSIFIED	NA
600	UNCLASSIFIED	NA
601	UNCLASSIFIED	NA
602	UNCLASSIFIED	NA
603	UNCLASSIFIED	NA
604	UNCLASSIFIED	NA
605	P2_I12_M1	0.87
606	UNCLASSIFIED	NA
607	UNCLASSIFIED	NA
608	UNCLASSIFIED	NA
609	UNCLASSIFIED	NA
610	P1_I4_M1	0.96
611	P4_I7_M4	0.86
612	UNCLASSIFIED	NA
613	UNCLASSIFIED	NA
614	UNCLASSIFIED	NA
615	UNCLASSIFIED	NA
616	UNCLASSIFIED	NA
617	P11_I3_M1	0.83
618	P3_I7_M2	0.93
619	UNCLASSIFIED	NA
620	UNCLASSIFIED	NA
621	UNCLASSIFIED	NA
622	UNCLASSIFIED	NA
623	P2_I12_M1	0.88
624	UNCLASSIFIED	NA
625	UNCLASSIFIED	NA
626	UNCLASSIFIED	NA
627	P1_I4_M1	0.98
628	P5_I4_M1	0.87
629	P2_I12_M2	0.86
630	UNCLASSIFIED	NA
631	UNCLASSIFIED	NA
632	UNCLASSIFIED	NA
633	UNCLASSIFIED	NA
634	UNCLASSIFIED	NA
635	UNCLASSIFIED	NA
636	UNCLASSIFIED	NA
637	UNCLASSIFIED	NA
638	UNCLASSIFIED	NA
639	P5_I4_M1	0.8
640	P1_I4_M1	0.88
641	UNCLASSIFIED	NA
642	UNCLASSIFIED	NA
643	P2_I12_M1	0.91
644	UNCLASSIFIED	NA
645	P2_I12_M5	0.82
646	UNCLASSIFIED	NA
647	P2_I12_M1	0.9
648	UNCLASSIFIED	NA
649	UNCLASSIFIED	NA
650	UNCLASSIFIED	NA
651	P3_I7_M5	0.92
652	UNCLASSIFIED	NA
653	UNCLASSIFIED	NA
654	UNCLASSIFIED	NA
655	P4_I7_M4	0.83
656	UNCLASSIFIED	NA
657	UNCLASSIFIED	NA
658	P2_I12_M1	0.84
659	UNCLASSIFIED	NA
660	UNCLASSIFIED	NA
661	UNCLASSIFIED	NA
662	UNCLASSIFIED	NA
663	UNCLASSIFIED	NA
664	UNCLASSIFIED	NA
665	P2_I12_M3	0.84
666	UNCLASSIFIED	NA
667	UNCLASSIFIED	NA
668	UNCLASSIFIED	NA
669	P10_I6_M2	0.81
670	UNCLASSIFIED	NA
671	UNCLASSIFIED	NA
672	UNCLASSIFIED	NA
673	UNCLASSIFIED	NA
674	P1_I4_M1	0.98
675	P1_I4_M1	0.98
676	UNCLASSIFIED	NA
677	UNCLASSIFIED	NA
678	UNCLASSIFIED	NA
679	UNCLASSIFIED	NA
680	UNCLASSIFIED	NA
681	P3_I7_M3	0.9
682	UNCLASSIFIED	NA
683	UNCLASSIFIED	NA
684	P2_I12_M2	0.89
685	P1_I4_M1	0.98
686	UNCLASSIFIED	NA
687	P3_I7_M2	0.8
688	P4_I7_M1	0.83
689	UNCLASSIFIED	NA
690	UNCLASSIFIED	NA
691	UNCLASSIFIED	NA
692	P8_I3_M3	0.87
693	P4_I7_M1	0.82
694	P4_I7_M1	0.84
695	UNCLASSIFIED	NA
696	P4_I7_M6	0.91
697	UNCLASSIFIED	NA
698	UNCLASSIFIED	NA
699	UNCLASSIFIED	NA
700	P2_I12_M2	0.85
701	UNCLASSIFIED	NA
702	P5_I4_M3	0.84
703	UNCLASSIFIED	NA
704	UNCLASSIFIED	NA
705	UNCLASSIFIED	NA
706	UNCLASSIFIED	NA
707	UNCLASSIFIED	NA
708	UNCLASSIFIED	NA
709	P4_I7_M4	0.86
710	P2_I12_M1	0.8
711	UNCLASSIFIED	NA
712	UNCLASSIFIED	NA
713	UNCLASSIFIED	NA
714	UNCLASSIFIED	NA
715	UNCLASSIFIED	NA
716	UNCLASSIFIED	NA
717	UNCLASSIFIED	NA
718	UNCLASSIFIED	NA
719	UNCLASSIFIED	NA
720	UNCLASSIFIED	NA
721	P1_I4_M1	0.98
722	UNCLASSIFIED	NA
723	UNCLASSIFIED	NA
724	P2_I12_M1	0.89
725	UNCLASSIFIED	NA
726	UNCLASSIFIED	NA
727	P5_I4_M2	0.86
728	P10_I6_M5	0.85
729	UNCLASSIFIED	NA
730	UNCLASSIFIED	NA
731	UNCLASSIFIED	NA
732	UNCLASSIFIED	NA
733	UNCLASSIFIED	NA
734	UNCLASSIFIED	NA
735	UNCLASSIFIED	NA
736	UNCLASSIFIED	NA
737	UNCLASSIFIED	NA
738	P2_I12_M1	0.86
739	P4_I7_M2	0.87
740	P5_I4_M2	0.89
741	P2_I12_M3	0.84
742	UNCLASSIFIED	NA
743	UNCLASSIFIED	NA
744	UNCLASSIFIED	NA
745	UNCLASSIFIED	NA
746	UNCLASSIFIED	NA
747	UNCLASSIFIED	NA
748	P4_I7_M2	0.85
749	UNCLASSIFIED	NA
750	UNCLASSIFIED	NA
751	P5_I4_M1	0.84
752	P2_I12_M1	0.92
753	UNCLASSIFIED	NA
754	P4_I7_M2	0.86
755	UNCLASSIFIED	NA
756	UNCLASSIFIED	NA
757	UNCLASSIFIED	NA
758	UNCLASSIFIED	NA
759	UNCLASSIFIED	NA
760	UNCLASSIFIED	NA
761	UNCLASSIFIED	NA
762	UNCLASSIFIED	NA
763	UNCLASSIFIED	NA
764	UNCLASSIFIED	NA
765	P5_I4_M2	0.83
766	P4_I7_M4	0.85
767	P3_I7_M1	0.84
768	UNCLASSIFIED	NA
769	UNCLASSIFIED	NA
770	UNCLASSIFIED	NA
771	UNCLASSIFIED	NA
772	UNCLASSIFIED	NA
773	UNCLASSIFIED	NA
774	UNCLASSIFIED	NA
775	UNCLASSIFIED	NA
776	UNCLASSIFIED	NA
777	P1_I4_M1	0.99
778	UNCLASSIFIED	NA
779	UNCLASSIFIED	NA
780	P2_I12_M3	0.83
781	UNCLASSIFIED	NA
782	UNCLASSIFIED	NA
783	UNCLASSIFIED	NA
784	UNCLASSIFIED	NA
785	UNCLASSIFIED	NA
786	UNCLASSIFIED	NA
787	UNCLASSIFIED	NA
788	UNCLASSIFIED	NA
789	UNCLASSIFIED	NA
790	P2_I12_M1	0.89
791	UNCLASSIFIED	NA
792	UNCLASSIFIED	NA
793	UNCLASSIFIED	NA
794	P2_I12_M1	0.8
795	UNCLASSIFIED	NA
796	UNCLASSIFIED	NA
797	UNCLASSIFIED	NA
798	UNCLASSIFIED	NA
799	UNCLASSIFIED	NA
800	UNCLASSIFIED	NA
801	UNCLASSIFIED	NA
802	UNCLASSIFIED	NA
803	UNCLASSIFIED	NA
804	UNCLASSIFIED	NA
805	UNCLASSIFIED	NA
806	UNCLASSIFIED	NA
807	UNCLASSIFIED	NA
808	UNCLASSIFIED	NA
809	P2_I12_M3	0.85
810	UNCLASSIFIED	NA
811	UNCLASSIFIED	NA
812	P6_I4_M3	0.84
813	UNCLASSIFIED	NA
814	P2_I12_M5	0.89
815	UNCLASSIFIED	NA
816	P7_I3_M2	0.87
817	UNCLASSIFIED	NA
818	UNCLASSIFIED	NA
819	UNCLASSIFIED	NA
820	UNCLASSIFIED	NA
821	UNCLASSIFIED	NA
822	UNCLASSIFIED	NA
823	UNCLASSIFIED	NA
824	UNCLASSIFIED	NA
825	UNCLASSIFIED	NA
826	UNCLASSIFIED	NA
827	UNCLASSIFIED	NA
828	P1_I4_M1	0.98
829	UNCLASSIFIED	NA
830	UNCLASSIFIED	NA
831	UNCLASSIFIED	NA
832	UNCLASSIFIED	NA
833	UNCLASSIFIED	NA
834	UNCLASSIFIED	NA
835	UNCLASSIFIED	NA
836	UNCLASSIFIED	NA
837	UNCLASSIFIED	NA
838	UNCLASSIFIED	NA
839	UNCLASSIFIED	NA
840	UNCLASSIFIED	NA
841	UNCLASSIFIED	NA
842	UNCLASSIFIED	NA
843	UNCLASSIFIED	NA
844	UNCLASSIFIED	NA
845	UNCLASSIFIED	NA
846	UNCLASSIFIED	NA
847	UNCLASSIFIED	NA
848	UNCLASSIFIED	NA
849	P3_I7_M2	0.81
850	P3_I7_M1	0.88
851	P2_I12_M1	0.89
852	UNCLASSIFIED	NA
853	UNCLASSIFIED	NA
854	UNCLASSIFIED	NA
855	UNCLASSIFIED	NA
856	UNCLASSIFIED	NA
857	UNCLASSIFIED	NA
858	UNCLASSIFIED	NA
859	P1_I4_M1	0.95
860	UNCLASSIFIED	NA
861	P2_I12_M1	0.85
862	P1_I4_M1	0.91
863	P2_I12_M1	0.87
864	UNCLASSIFIED	NA
865	P5_I4_M2	0.83
866	UNCLASSIFIED	NA
867	P2_I12_M1	0.85
868	UNCLASSIFIED	NA
869	P2_I12_M1	0.83
870	UNCLASSIFIED	NA
871	UNCLASSIFIED	NA
872	P2_I12_M2	0.92
873	P6_I4_M1	0.82
874	P4_I7_M3	0.81
875	UNCLASSIFIED	NA
876	UNCLASSIFIED	NA
877	UNCLASSIFIED	NA
878	UNCLASSIFIED	NA
879	P3_I7_M5	0.85
880	UNCLASSIFIED	NA
881	UNCLASSIFIED	NA
882	P2_I12_M5	0.84
883	UNCLASSIFIED	NA
884	UNCLASSIFIED	NA
885	UNCLASSIFIED	NA
886	UNCLASSIFIED	NA
887	P2_I12_M3	0.91
888	P4_I7_M3	0.88
889	UNCLASSIFIED	NA
890	UNCLASSIFIED	NA
