Gene	Module	kME
14279	P1_I1_M1	0.83
14550	P1_I1_M4	0.86
14743	P1_I1_M1	0.81
15544	P1_I1_M2	0.88
15565	P1_I1_M1	0.89
15631	P1_I1_M1	0.87
15796	P1_I1_M5	1.0
15884	P1_I1_M1	0.89
15940	P1_I1_M2	0.85
16013	P1_I1_M1	0.9
16022	P1_I1_M2	0.88
16046	P1_I1_M1	0.79
16056	P1_I1_M4	0.88
16198	P1_I1_M5	1.0
16200	P1_I1_M5	1.0
16202	P1_I1_M5	1.0
16204	P1_I1_M5	1.0
16319	P1_I1_M1	0.81
16695	P1_I1_M2	0.9
16721	P1_I1_M1	0.96
16849	P1_I1_M2	0.85
17034	P1_I1_M2	0.88
17189	P1_I1_M4	0.86
17281	P1_I1_M1	0.95
17836	P1_I1_M4	0.83
17883	P1_I1_M2	0.89
18081	P1_I1_M2	0.9
18233	P1_I1_M2	0.9
18268	P1_I1_M1	0.84
18381	P1_I1_M1	0.88
18441	P1_I1_M5	1.0
18469	P1_I1_M5	1.0
18481	P1_I1_M5	1.0
18496	P1_I1_M5	1.0
18505	P1_I1_M5	1.0
18512	P1_I1_M5	1.0
18548	P1_I1_M5	1.0
18559	P1_I1_M1	0.89
18566	P1_I1_M1	0.9
18688	P1_I1_M2	0.81
18732	P1_I1_M1	0.87
18962	P1_I1_M4	0.93
19148	P1_I1_M2	0.9
19152	P1_I1_M2	0.9
19278	P1_I1_M5	1.0
19295	P1_I1_M5	1.0
19315	P1_I1_M5	1.0
19316	P1_I1_M2	0.84
19536	P1_I1_M1	0.91
19546	P1_I1_M2	0.9
